 ⟦  ⟧ 	ぐん
:-)	にこにこ
On my way!	omw
¬	\neg
²	\^2
³	\^3
¹	\^1
×	\x
ƛ	\gl-
ʰ	\^h
ʲ	\^j
ʳ	\^r
ʷ	\^w
ʸ	\^y
ˡ	\^l
ˢ	\^s
ˣ	\^x
Α	\gAA
Β	\gBB
Γ	\gGG
Δ	\gDD
Ε	\gEE
Ζ	\gZZ
Η	\gHH
Θ	\gTHH
Ι	\gII
Κ	\gKK
Λ	\gLL
Μ	\gMM
Ν	\gNN
Ξ	\gXX
Ο	\Omicronn
Π	\Pii
Ρ	\gRR
Σ	\gSS
Τ	\gTT
Υ	\gUU
Φ	\gFF
Χ	\gCC
Ψ	\gPP
Ω	\gOO
α	\ga
β	\gb
γ	\gg
δ	\gd
ε	\ge
ζ	\gz
η	\gh
θ	\gth
ι	\gi
κ	\gk
λ	\gl
μ	\gm
ν	\gn
ξ	\gx
ο	\omicron
π	\pi
ρ	\gr
σ	\gs
τ	\gt
υ	\gu
φ	\gf
χ	\gc
ψ	\gp
ω	\go
ᵃ	\^a
ᵇ	\^b
ᵈ	\^d
ᵉ	\^e
ᵍ	\^g
ᵏ	\^k
ᵐ	\^m
ᵒ	\^o
ᵖ	\^p
ᵗ	\^t
ᵘ	\^u
ᵛ	\^v
ᵢ	\_i
ᵣ	\_r
ᵤ	\_u
ᵥ	\_v
ᶜ	\^c
ᶠ	\^f
ᶻ	\^z
⁰	\^0
ⁱ	\^i
⁴	\^4
⁵	\^5
⁶	\^6
⁷	\^7
⁸	\^8
⁹	\^9
⁺	\^+
⁻¹	\^-
⁻¹	ぎゃく
⁼	\^=
⁽	\^(
⁾	\^)
ⁿ	\^n
₀	\0
₁	\1
₂	\2
₃	\3
₄	\4
₅	\5
₆	\6
₇	\7
₈	\8
₉	\9
₀	\_0
₁	\_1
₂	\_2
₃	\_3
₄	\_4
₅	\_5
₆	\_6
₇	\_7
₈	\_8
₉	\_9
ₐ	\_a
ₑ	\_e
ₒ	\_o
ₓ	\_x
ₕ	\_h
ₖ	\_k
ₗ	\_l
ₘ	\_m
ₙ	\_n
ₚ	\_p
ₛ	\_s
ₜ	\_t
ₜ	\t
ℂ	\bc
ℓ	\ell
ℕ	\bn
ℕ	えぬ
ℙ	\bp
ℚ	\bq
ℝ	\br
ℤ	\bz
ℵ	アレフ
⅀	\bsum
←	\<-
←	\l-
↑	\u-
→	\->
→	\r-
→	\to
↓	\d-
↔	\<->
↔	\lr-
↕	\ud-
↖	\ul-
↗	\ur-
↘	\dr-
↙	\dl-
↚	\<-n
↚	\l-n
↛	\->n
↛	\r-n
↜⇜	\l~
↝⇝⟿	\r~
↞	\ll-
↟	\uu-
↠	\rr-
↡	\dd-
↢	\l->
↣	\r->
↤	\l-\|
↥	\u-\|
↦	\r-\|
↧	\d-\|
↨	\ud-\|
↭	\lr~
↮	\<->n
↮	\lr-n
↯	\dz
⇄	\r-l-
⇅	\u-d-
⇆	\l-r-
⇇	\l-2
⇈	\u-2
⇉	\r-2
⇊	\d-2
